Created as New Dataset,2 Celanese
cm-1,%T
2502.00,96.20
2501.00,96.21
2500.00,96.22
2499.00,96.21
2498.00,96.20
2497.00,96.18
2496.00,96.16
2495.00,96.15
2494.00,96.15
2493.00,96.16
2492.00,96.17
2491.00,96.17
2490.00,96.16
2489.00,96.16
2488.00,96.16
2487.00,96.16
2486.00,96.16
2485.00,96.17
2484.00,96.18
2483.00,96.17
2482.00,96.16
2481.00,96.15
2480.00,96.16
2479.00,96.16
2478.00,96.16
2477.00,96.14
2476.00,96.13
2475.00,96.13
2474.00,96.15
2473.00,96.17
2472.00,96.18
2471.00,96.18
2470.00,96.18
2469.00,96.18
2468.00,96.18
2467.00,96.17
